State,Group,Intent.to.Enroll.Score_nmean,Intent.to.Enroll.Score_sd,Community.College.Score_nmean,Community.College.Score_sd,University.Score_nmean,University.Score_sd,Vocational.or.Technical.School.Score_nmean,Vocational.or.Technical.School.Score_sd,Hybrid.Education.Score_nmean,Hybrid.Education.Score_sd,All.Online.Education.Score_nmean,All.Online.Education.Score_sd,Intent.to.Seek.New.Job.Score_nmean,Intent.to.Seek.New.Job.Score_sd,n,n.Intent.Score.Over.50,prop.Intent.Score.Over.50
KY,"KY: MOUNT STERLING, KY",36.4539847817381,13.3248185022474,35.3705646776131,13.0289439631041,54.4727272727273,10.5832737911878,44.6554665598719,11.4277475902807,40.4238686423708,13.7743028110246,39.4380857028434,13.045843469064,32.4843412094513,16.2403603480269,24970,4504,0.180376451742091
KY,"KY: MURRAY, KY",37.4689028651293,14.3504568904713,37.3085255066387,14.5308800951881,47.70571278826,11.922449223672,46.2707896575821,12.6452514795182,40.4316037735849,14.531175140036,39.6246505939902,13.6877611178887,33.4420422781272,17.9664863449549,22896,4929,0.215277777777778
KY,"KY: OWENSBORO, KY",39.6779644425955,14.795849222828,39.3318609517051,14.9433624164108,49.3949000942161,11.7595626465339,49.1504276432513,12.5909250344498,41.9002899898442,14.6345753566078,41.8624689515093,14.0384792491284,37.6441567658179,18.6691884360574,81727,21090,0.258054253796175
KY,"KY: PADUCAH, KY-IL",37.1672515232459,14.0364311586637,36.4289355610259,14.1204312674494,52.9531765568533,11.4933735879217,45.826341241991,12.2736765993818,40.5146912481014,14.4556411385621,40.6181322997957,13.9898830174132,34.3797726915624,17.6960152097662,57279,11754,0.205206096475148
KY,"KY: RICHMOND-BEREA, KY",38.3899175454796,14.1038812667182,35.740794738462,14.2019599319872,44.44101018937,15.420898602171,56.1589152937746,13.9554944166177,42.0756184089032,14.2229995000473,41.2816251154201,13.4533380373592,37.2302408838347,17.7297496810794,61731,14118,0.228701948777762
KY,"KY: SOMERSET, KY",37.1719868491618,14.3387259968979,38.0603446265768,14.0945202573536,55.5370625131159,11.6248134528129,43.7256977638912,11.7590920791336,41.5475785202975,14.2603789411877,40.8462237974211,13.8455757708598,33.0964861146735,16.8688389762568,42887,8896,0.207428824585539
KY,"KY: UNION CITY, TN-KY",35.6214084507042,13.3273074537462,36.6047887323944,13.0341956412123,55.8056338028169,11.1500674074528,40.8819718309859,11.6486260652248,39.5239436619718,13.7681304407051,38.9185915492958,13.741233255939,31.4797183098592,16.8735542441807,3550,633,0.17830985915493
KY,KY: NA_Gender,56.9989077549399,17.734913967639,55.5483070201569,18.7717540036874,54.07642405587,13.097226955635,46.4727435210009,11.7138428254449,52.8939198358323,15.1875091233978,52.2086850031444,14.7218453352822,45.0234005229537,20.9355688330089,30213,18734,0.620064210770198
KY,KY: F,40.3198355714382,14.6959732840297,39.4355977939038,15.0090590842443,52.7955135223198,12.998457495717,43.7573472132717,11.3977656733105,45.0209205486216,14.5744565075258,44.3964728928073,14.127062603579,36.2051842926575,17.5978588785598,1798471,485823,0.270131128052663
KY,KY: M,38.6490848759501,14.4821027266397,37.725181644902,14.5803580247104,49.3703370070698,12.5775464226522,56.8422881196367,11.556888985491,40.4638476994225,13.9291775896167,39.7002091785807,13.3538801019814,37.7759725772297,18.2501237499577,1550828,374179,0.241276917878707
KY,KY: Asian,57.3747810078095,14.9556430961454,56.7099058704754,15.7369051632323,51.8744246815334,12.5819782298182,52.3783591174986,12.8256959509756,55.4942245449417,13.3197220846441,53.9108441963358,12.9633012225832,56.7321762627313,18.0466280025017,67354,44695,0.663583454583247
KY,KY: Black/African-American,45.7958223285185,15.5624626723379,43.7085953698048,15.8481264659647,48.8943107616336,12.3196192616665,51.2420313669486,12.2578573449059,48.741639925325,15.3581182745649,47.5521305608369,14.9776803112496,46.0349544465188,17.9564364236757,116237,46617,0.40105130036047
KY,KY: Caucasian/White,38.4247012790748,14.0862229727496,37.6166562273808,14.3261548487595,51.33915530781,12.9689474885785,49.5668393463281,13.2301914706617,41.6294682935033,14.0186641081755,41.0181389781953,13.5542363196277,34.8852683573234,16.7270878130774,2955183,683944,0.231438797529628
KY,KY: Hispanic/Latino,51.9265593561368,14.8696535553934,49.9553990610329,15.5396783645547,50.6075788061704,13.0207022599334,50.3222334004024,13.1719773095162,52.5884976525822,13.2303686695245,51.2991448692153,12.6914375071896,64.9045606975185,16.0568618743275,59640,32587,0.546395036887995
KY,KY: Missing,48.5122093958946,15.5933683083743,47.0948075319317,16.1244663384878,50.6359420035407,12.5327041074173,50.8635166571567,13.0449431723339,52.730076519042,14.1541589277772,51.8743288124186,13.576125562298,49.4240369281189,19.2536451499002,136698,60938,0.445785600374548
KY,KY: Other,40.4862675766796,14.8624040381914,38.9427404544582,15.041862035935,51.6786037332456,12.5768814678477,51.1211523175178,12.99779750015,53.631609242661,13.1034656007846,52.1625277526519,13.3318160955444,45.9390949209221,18.8099481232025,72966,20581,0.282062878600992
